Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,1.0,2.0,1,0,7.25,3.0
1,1,0.0,2.0,1,0,71.2833,1.0
1,3,0.0,2.0,0,0,7.925,3.0
1,1,0.0,2.0,1,0,53.1,3.0
0,3,1.0,2.0,0,0,8.05,3.0
0,3,1.0,2.0,0,0,8.4583,2.0
0,1,1.0,2.0,0,0,51.8625,3.0
0,3,1.0,1.0,3,1,21.075,3.0
1,3,0.0,2.0,0,2,11.1333,3.0
1,2,0.0,1.0,1,0,30.0708,1.0
1,3,0.0,1.0,1,1,16.7,3.0
1,1,0.0,2.0,0,0,26.55,3.0
0,3,1.0,2.0,0,0,8.05,3.0
0,3,1.0,2.0,1,5,31.275,3.0
0,3,0.0,1.0,0,0,7.8542,3.0
1,2,0.0,2.0,0,0,16.0,3.0
0,3,1.0,1.0,4,1,29.125,2.0
1,2,1.0,2.0,0,0,13.0,3.0
0,3,0.0,2.0,1,0,18.0,3.0
1,3,0.0,2.0,0,0,7.225,1.0
0,2,1.0,2.0,0,0,26.0,3.0
1,2,1.0,2.0,0,0,13.0,3.0
1,3,0.0,1.0,0,0,8.0292,2.0
1,1,1.0,2.0,0,0,35.5,3.0
0,3,0.0,1.0,3,1,21.075,3.0
1,3,0.0,2.0,1,5,31.3875,3.0
0,3,1.0,2.0,0,0,7.225,1.0
0,1,1.0,1.0,3,2,263.0,3.0
1,3,0.0,2.0,0,0,7.8792,2.0
0,3,1.0,2.0,0,0,7.8958,3.0
0,1,1.0,2.0,0,0,27.7208,1.0
1,1,0.0,2.0,1,0,146.5208,1.0
1,3,0.0,2.0,0,0,7.75,2.0
0,2,1.0,3.0,0,0,10.5,3.0
0,1,1.0,2.0,1,0,82.1708,1.0
0,1,1.0,2.0,1,0,52.0,3.0
1,3,1.0,2.0,0,0,7.2292,1.0
0,3,1.0,2.0,0,0,8.05,3.0
0,3,0.0,1.0,2,0,18.0,3.0
1,3,0.0,1.0,1,0,11.2417,1.0
0,3,0.0,2.0,1,0,9.475,3.0
0,2,0.0,2.0,1,0,21.0,3.0
0,3,1.0,2.0,0,0,7.8958,1.0
1,2,0.0,1.0,1,2,41.5792,1.0
1,3,0.0,1.0,0,0,7.8792,2.0
0,3,1.0,2.0,0,0,8.05,3.0
0,3,1.0,2.0,1,0,15.5,2.0
1,3,0.0,2.0,0,0,7.75,2.0
0,3,1.0,2.0,2,0,21.6792,1.0
0,3,0.0,1.0,1,0,17.8,3.0
0,3,1.0,1.0,4,1,39.6875,3.0
0,3,1.0,2.0,0,0,7.8,3.0
1,1,0.0,2.0,1,0,76.7292,1.0
1,2,0.0,2.0,1,0,26.0,3.0
0,1,1.0,3.0,0,1,61.9792,1.0
1,1,1.0,2.0,0,0,35.5,3.0
1,2,0.0,2.0,0,0,10.5,3.0
0,3,1.0,2.0,0,0,7.2292,1.0
1,2,0.0,1.0,1,2,27.75,3.0
